gender,party,race,age_at_year_end
Unspecified,Unaffiliated,Undesignated,33
Unspecified,Unaffiliated,White,32
Unspecified,Unaffiliated,Undesignated,23
Male,Unaffiliated,Two or more Races,26
Male,Democratic,White,20
Female,Democratic,White,34
Female,Unaffiliated,Black or African American,25
Female,Democratic,Black or African American,44
Female,Democratic,White,67
Male,Democratic,Black or African American,53
Female,Unaffiliated,White,36
Female,Unaffiliated,White,49
Male,Democratic,Black or African American,65
Female,Democratic,Black or African American,51
Female,Democratic,White,75
Female,Democratic,White,71
Male,Unaffiliated,White,65
Male,Democratic,Black or African American,54
Male,Unaffiliated,Black or African American,42
Female,Democratic,Black or African American,45
Female,Democratic,Black or African American,38
Female,Unaffiliated,Black or African American,23
Female,Democratic,Black or African American,41
Female,Democratic,Black or African American,37
Unspecified,Democratic,Undesignated,32
Female,Democratic,Black or African American,81
Female,Democratic,White,29
Female,Unaffiliated,White,67
Male,Unaffiliated,White,35
Female,Unaffiliated,White,35
Male,Unaffiliated,White,39
Unspecified,Democratic,Undesignated,38
Male,Democratic,Black or African American,39
Female,Democratic,Black or African American,70
Male,Democratic,White,23
Male,Unaffiliated,White,50
Male,Democratic,White,74
Female,Unaffiliated,White,20
Female,Democratic,Black or African American,30
Unspecified,Unaffiliated,Undesignated,27
Unspecified,Unaffiliated,Undesignated,24
Female,Republican,White,89
Female,Democratic,Black or African American,60
Female,Democratic,White,74
Female,Democratic,White,85
Female,Democratic,White,23
Female,Democratic,Two or more Races,32
Male,Democratic,White,81
Male,Democratic,White,74
Male,Unaffiliated,Black or African American,88
Male,Democratic,Black or African American,59
Female,Democratic,Black or African American,55
Male,Democratic,White,31
Male,Democratic,White,24
Unspecified,Democratic,White,38
Female,Unaffiliated,Black or African American,31
Unspecified,Unaffiliated,Undesignated,30
Female,Democratic,Black or African American,40
Male,Unaffiliated,White,53
Unspecified,Unaffiliated,White,26
Female,Democratic,Black or African American,67
Female,Unaffiliated,Undesignated,28
Unspecified,Unaffiliated,Undesignated,19
Female,Unaffiliated,White,47
Female,Democratic,White,61
Unspecified,Democratic,Undesignated,64
Female,Unaffiliated,Black or African American,25
Unspecified,Unaffiliated,Undesignated,26
Female,Unaffiliated,Black or African American,23
Male,Unaffiliated,Black or African American,34
Female,Unaffiliated,White,42
Female,Democratic,Black or African American,39
Male,Democratic,Black or African American,66
Female,Unaffiliated,Black or African American,27
Female,Democratic,Black or African American,31
Male,Unaffiliated,Black or African American,21
Male,Democratic,Black or African American,27
Female,Democratic,Two or more Races,31
Female,Unaffiliated,White,67
Female,Unaffiliated,Black or African American,58
Female,Democratic,Black or African American,64
Female,Democratic,Black or African American,74
Male,Democratic,Black or African American,22
Male,Unaffiliated,White,50
Female,Democratic,Black or African American,20
Female,Democratic,Black or African American,26
Female,Democratic,Black or African American,61
Female,Democratic,Undesignated,76
Male,Democratic,Black or African American,69
Male,Libertarian,White,57
Male,Unaffiliated,White,66
Unspecified,Unaffiliated,Undesignated,42
Female,Democratic,Black or African American,70
Female,Democratic,White,80
Female,Democratic,Black or African American,35
Female,Democratic,White,34
Female,Unaffiliated,Black or African American,40
Female,Democratic,Undesignated,34
Female,Democratic,Black or African American,85
Male,Democratic,Black or African American,59
Female,Democratic,Black or African American,27
Female,Unaffiliated,White,49
Male,Republican,White,27
Female,Democratic,Black or African American,77
Male,Democratic,Black or African American,59
Unspecified,Unaffiliated,Undesignated,25
Male,Democratic,Black or African American,53
Male,Democratic,Black or African American,73
Male,Unaffiliated,Black or African American,32
Female,Unaffiliated,Black or African American,27
Unspecified,Unaffiliated,Undesignated,19
Male,Democratic,White,26
Female,Democratic,Other,86
Female,Democratic,White,80
Female,Democratic,Black or African American,60
Male,Democratic,Black or African American,46
Male,Democratic,White,24
Male,Unaffiliated,Black or African American,22
Male,Democratic,White,65
Male,Democratic,White,43
Female,Democratic,White,51
Male,Unaffiliated,White,68
Female,Unaffiliated,White,49
Unspecified,Unaffiliated,Undesignated,46
Male,Democratic,White,71
Female,Democratic,White,36
Unspecified,Unaffiliated,Undesignated,60
Female,Republican,White,86
Male,Unaffiliated,Black or African American,23
Male,Democratic,White,46
Unspecified,Unaffiliated,Undesignated,84
Male,Democratic,White,70
Male,Democratic,White,85
Male,Democratic,Black or African American,82
Female,Democratic,Black or African American,23
Female,Republican,White,68
Unspecified,Unaffiliated,White,53
Female,Democratic,Black or African American,38
Male,Democratic,White,49
Male,Democratic,Black or African American,25
Female,Democratic,White,49
Female,Democratic,Undesignated,78
Female,Democratic,White,48
